PLAYER,WINDOW,POSITION,COUNTRY,TO,FROM,PRICE DESCRIPTION,PRICE,LEAGUE ,SEASON
Facundo Ferreyra,Pre-Season,Attacker,ARG,Shakhtar Donetsk,Velez,Sold,7000000,ROE,13/14
Geronimo Rulli,Pre-Season,Goalkeeper,ARG,Real Sociedad,Manchester City,Sold,7000000,La Liga,16/17
Cristian Espinoza,Pre-Season,Attacker,ARG,Villarreal,Huracan,Sold,7200000,La Liga,16/17
Emanuel Mammana,Pre-Season,Defender,ARG,Lyon,River Plate,Sold,7500000,ROE,16/17
Ezequiel Munoz,Pre-Season,Defender,ARG,Palermo,Boca Juniors,Sold,8000000,Serie A,10-Nov
Nicolas Burdisso,Pre-Season,Defender,ARG,Roma,Inter Milan,Sold,8000000,Serie A,10-Nov
Matias Kranevitter,Pre-Season,Midfielder,ARG,Atletico Madrid,River Plate,Sold,8000000,La Liga,15/16
Pablo Piatti,Pre-Season,Midfielder,ARG,Valencia,Almeria,Sold,8000000,La Liga,11-Dec
Willy Caballero,Pre-Season,Goalkeeper,ARG,Manchester City,Malaga,Sold,8000000,EPL,14/15
Mauro Boselli,Pre-Season,Attacker,ARG,Wigan Athletic,Estudiantes,Sold,8000000,EPL,10-Nov
Federico Fernandez,Pre-Season,Defender,ARG,Swansea,Napoli,Sold,9000000,EPL,14/15
Giovani Lo Celso,Pre-Season,Midfielder,ARG,PSG,Rosario Central,Sold,10000000,ROE,16/17
Marco Ruben,Pre-Season,Attacker,ARG,Dynamo Kiev,Villarreal,Sold,10000000,ROE,Dec-13
Eduardo Salvio,Mid-Season,Attacker,ARG,Atletico Madrid,Lanus,Sold,10000000,La Liga,09-Oct
Leonardo Ulloa,Pre-Season,Attacker,ARG,Leicester,Brighton,Sold,10000000,EPL,14/15
Federico Fazio,Pre-Season,Defender,ARG,Tottenham,Sevilla,Sold,10000000,EPL,14/15
Rodrigo Palacio,Pre-Season,Attacker,ARG,Inter Milan,Genoa,Sold,11000000,Serie A,Dec-13
Carlos Tevez,Pre-Season,Attacker,ARG,Juventus,Manchester City,Sold,11800000,Serie A,13/14
Paulo Dybala,Pre-Season,Attacker,ARG,Palermo,Instituto,Sold,12000000,Serie A,Dec-13
Eduardo Salvio,Pre-Season,Attacker,ARG,Benfica,Atletico Madrid,Sold,13000000,ROE,Dec-13
Joaquin Correa,Pre-Season,Midfielder,ARG,Sevilla,Sampdoria,Sold,13000000,La Liga,16/17
Ramiro Funes Mori,Pre-Season,Defender,ARG,Everton,River Plate,Sold,13300000,EPL,15/16
Roberto Pereyra,Pre-Season,Midfielder,ARG,Juventus,Udinese,Sold,14000000,Serie A,15/16
Ezequiel Garay,Pre-Season,Defender,ARG,Zenit,Benfica,Sold,15000000,ROE,14/15
Juan Iturbe,Pre-Season,Attacker,ARG,Verona,Porto,Sold,15000000,Serie A,14/15
Roberto Pereyra,Pre-Season,Midfielder,ARG,Watford,Juventus,Sold,15000000,EPL,16/17
Nicolas Gaitan,Pre-Season,Midfielder,ARG,Atletico Madrid,Benfica,Sold,15500000,La Liga,16/17
Lucho Gonzalez,Pre-Season,,ARG,Olympique Marseille,Porto,Sold,17000000,ROE,09-Oct
Erik Lamela,Pre-Season,Midfielder,ARG,Roma,River Plate,Sold,17000000,Serie A,11-Dec
Pablo Osvaldo,Pre-Season,Attacker,ARG,Roma,Espanyol,Sold,18000000,Serie A,11-Dec
Simao,Pre-Season,,ARG,Atletico Madrid,Benfica,Sold,20000000,La Liga,07-Aug
Erik Lamela,Pre-Season,Midfielder,ARG,Roma,River Plate,Sold,20000000,Serie A,11-Dec
Luciano Vietto,Pre-Season,Attacker,ARG,Atletico Madrid,Villarreal,Sold,20000000,La Liga,15/16
Javier Mascherano,Pre-Season,Midfielder,ARG,Barcelona,Liverpool,Sold,20000000,La Liga,10-Nov
Marcos Rojo,Pre-Season,Defender,ARG,Manchester Utd,Sporting Lisbon,Sold,20000000,EPL,14/15
Mauro Zárate,Pre-Season,,ARG,Lazio,Al Sadd,Sold,21000000,Serie A,09-Oct
Juan Iturbe,Pre-Season,Attacker,ARG,Roma,Verona,Sold,22000000,Serie A,14/15
