PLAYER,WINDOW,POSITION,COUNTRY,TO,FROM,PRICE DESCRIPTION,PRICE,LEAGUE ,SEASON
Andre Santos,Pre-Season,Defender,BRA,Arsenal,Fenerbahce,Sold,6800000,EPL,11-Dec
Otavio,Pre-Season,Midfielder,BRA,Porto,Internacional,Sold,7000000,ROE,14/15
Jonathas de Jesus,Pre-Season,Attacker,BRA,Real Sociedad,Elche,Sold,7000000,La Liga,15/16
Elias Mendes,Mid-Season,Midfielder,BRA,Atletico Madrid,Corinthians,Sold,7000000,La Liga,10-Nov
Sandro,Pre-Season,Midfielder,BRA,Tottenham,Internacional,Sold,7200000,EPL,10-Nov
Alisson,Pre-Season,Goalkeeper,BRA,Roma,Internacional,Sold,7500000,Serie A,16/17
Raffael,Pre-Season,Attacker,BRA,Dynamo Kiev,Hertha,Sold,8000000,ROE,Dec-13
Romulo,Pre-Season,Midfielder,BRA,Spartak Moscow,Vasco da Gama,Sold,8000000,ROE,Dec-13
Luiz Adriano,Pre-Season,Attacker,BRA,AC Milan,Shakhtar Donetsk,Sold,8000000,Serie A,15/16
Fernando,Pre-Season,Midfielder,BRA,Sampdoria,Shakhtar Donetsk,Sold,8000000,Serie A,15/16
Wallace,Pre-Season,Defender,BRA,Lazio,Sporting Braga,Sold,8000000,Serie A,16/17
Felipe Anderson,Pre-Season,Midfielder,BRA,Lazio,Santos,Sold,8000000,Serie A,13/14
Rafinha,Pre-Season,Defender,BRA,Genoa,Schalke,Sold,8000000,Serie A,10-Nov
Elias,Pre-Season,Midfielder,BRA,Sporting Lisbon,Atletico Madrid,Sold,8800000,ROE,11-Dec
Gabriel Boschilia,Pre-Season,Midfielder,BRA,Monaco,Sao Paulo,Sold,9000000,ROE,15/16
Wellington Nem,Pre-Season,Midfielder,BRA,Shakhtar Donetsk,Fluminense,Sold,9000000,ROE,13/14
Ganso,Pre-Season,Midfielder,BRA,Sevilla,Santos,Sold,9100000,La Liga,16/17
Aderlan Santos,Pre-Season,Defender,BRA,Valencia,Sporting Braga,Sold,9500000,La Liga,15/16
Adriano Correia,Pre-Season,Midfielder,BRA,Barcelona,Sevilla,Sold,9500000,La Liga,10-Nov
Jemerson,Mid-Season,Defender,BRA,Monaco,Atletico Mineiro,Sold,10000000,ROE,15/16
Doria,Pre-Season,Defender,BRA,Marseille,Botafogo,Sold,10000000,ROE,14/15
Douglas Santos,Pre-Season,Defender,BRA,Hamburg,Atletico Mineiro,Sold,10000000,Bundesliga,16/17
Hernanes,Pre-Season,Midfielder,BRA,Lazio,Sao Paulo,Sold,10000000,Serie A,10-Nov
Guilherme Siqueira,Pre-Season,Defender,BRA,Atletico Madrid,Granada,Sold,10000000,La Liga,14/15
Philippe Coutinho,Mid-Season,,BRA,Liverpool,Inter Milan,Sold,10000000,EPL,Dec-13
Fernando,Pre-Season,Midfielder,BRA,Shakhtar Donetsk,Gremio,Sold,11000000,ROE,13/14
Hernanes,Pre-Season,Midfielder,BRA,Juventus,Inter Milan,Sold,11000000,Serie A,15/16
Danilo,Pre-Season,Midfielder,BRA,Porto,Santos,Sold,13000000,ROE,11-Dec
Filipe,Pre-Season,Defender,BRA,Atletico Madrid,Dep. La Coruna,Sold,13500000,La Liga,10-Nov
Lucas Silva,Mid-Season,Midfielder,BRA,Real Madrid,Cruzeiro,Sold,14000000,La Liga,14/15
Fred,Pre-Season,Midfielder,BRA,Shakhtar Donetsk,Internacional,Sold,15000000,ROE,13/14
Taison,Mid-Season,Attacker,BRA,Shakhtar Donetsk,Metalist Kharkiv,Sold,15000000,ROE,Dec-13
Luiz Gustavo,Mid-Season,Defender,BRA,Bayern Munich,Hoffenheim,Sold,15000000,ROE,10-Nov
Diego,Pre-Season,Midfielder,BRA,Wolfsburg,Juventus,Sold,15000000,ROE,10-Nov
Luiz Gustavo,Pre-Season,Midfielder,BRA,Wolfsburg,Bayern Munich,Sold,15000000,Bundesliga,13/14
Gabriel Paulista,Mid-Season,,BRA,Arsenal,Villarreal,Sold,15000000,EPL,14/15
Fernando,Pre-Season,Midfielder,BRA,Manchester City,Porto,Sold,15000000,EPL,14/15
Robinho,Pre-Season,Attacker,BRA,AC Milan,Manchester City,Sold,18000000,Serie A,10-Nov
Hernanes,Mid-Season,Midfielder,BRA,Inter Milan,Lazio,Sold,20000000,Serie A,13/14
Filipe Luis,Pre-Season,Defender,BRA,Chelsea,Atletico Madrid,Sold,20000000,EPL,14/15
Paulinho,Pre-Season,Midfielder,BRA,Tottenham,Corinthians,Sold,20000000,EPL,13/14
Ramires,Pre-Season,Midfielder,BRA,Chelsea,Benfica,Sold,20000000,EPL,10-Nov
Felipe Melo,Pre-Season,,BRA,Juventus,Fiorentina,Sold,20500000,Serie A,09-Oct
Ronaldinho,Pre-Season,,BRA,AC Milan,FC Barcelona,Sold,21000000,Serie A,08-Sep
Filipe Luis,Pre-Season,Defender,BRA,Atletico Madrid,Chelsea,Sold,21200000,La Liga,15/16
Bernard,Pre-Season,Midfielder,BRA,Shakhtar Donetsk,Atletico Mineiro,Sold,25000000,ROE,13/14
David Luiz,Mid-Season,,BRA,Chelsea,Benfica,Sold,25000000,EPL,10-Nov
Alex Sandro,Pre-Season,Defender,BRA,Juventus,Porto,Sold,26000000,Serie A,15/16
Gabriel Barbosa,Pre-Season,Attacker,BRA,Inter Milan,Santos,Sold,28000000,Serie A,16/17
Douglas Costa,Pre-Season,Midfielder,BRA,Bayern,Shakhtar Donetsk,Sold,30000000,Bundesliga,15/16
Marquinhos,Pre-Season,Defender,BRA,PSG,Roma,Sold,31400000,ROE,13/14
Danilo,Pre-Season,Defender,BRA,Real Madrid,Porto,Sold,31500000,La Liga,15/16
Daniel Alves,Pre-Season,,BRA,Barcelona,Sevilla,Sold,32000000,La Liga,08-Sep
Gabriel Jesus,Pre-Season,Midfielder,BRA,Manchester City,Palmeiras,Sold,32000000,EPL,16/17
Oscar,Pre-Season,Midfielder,BRA,Chelsea,Internacional,Sold,32000000,EPL,Dec-13
Willian,Mid-Season,Midfielder,BRA,Anzhi,Shakhtar Donetsk,Sold,35000000,ROE,Dec-13
Willian,Pre-Season,Midfielder,BRA,Chelsea,Anzhi,Sold,35000000,EPL,13/14
Hulk,Pre-Season,Attacker,BRA,Zenit,Porto,Sold,40000000,ROE,Dec-13
David Luiz,Pre-Season,Defender,BRA,Chelsea,PSG,Sold,40000000,EPL,16/17
Fernandinho,Pre-Season,Midfielder,BRA,Manchester City,Shakhtar Donetsk,Sold,40000000,EPL,13/14
Roberto Firmino,Pre-Season,Attacker,BRA,Liverpool,Hoffenheim,Sold,41000000,EPL,15/16
Thiago Silva,Pre-Season,Defender,BRA,PSG,AC Milan,Sold,42000000,ROE,Dec-13
Lucas Moura,Mid-Season,Attacker,BRA,PSG,Sao Paulo,Sold,45000000,ROE,Dec-13
David Luiz,Pre-Season,Defender,BRA,PSG,Chelsea,Sold,49000000,ROE,14/15
Neymar,Pre-Season,Attacker,BRA,Barcelona,Santos,Sold,57000000,La Liga,13/14
Kaka,Pre-Season,,BRA,Real Madrid,AC Milan,Sold,68400000,La Liga,09-Oct
Doneil Henry,Mid-Season,,CAN,West Ham,Apollon Limassol,Sold,2000000,EPL,14/15
Gelson Fernandes,Pre-Season,Midfielder,CHE,Freiburg,Sporting Lisbon,Sold,290000,Bundesliga,13/14
Blerim Dzemaili,Pre-Season,Midfielder,CHE,Bologna,Galatasaray,Sold,1300000,Serie A,16/17
Francisco Rodriguez,Pre-Season,Midfielder,CHE,Wolfsburg,Zurich,Sold,1600000,Bundesliga,15/16
Florent Hadergjonaj,Pre-Season,Defender,CHE,Ingolstadt,Young Boys,Sold,2000000,Bundesliga,16/17
Anto Grgic,Pre-Season,Midfielder,CHE,Stuttgart,Zurich,Sold,2000000,Bundesliga,16/17
Pirmin Schwegler,Pre-Season,Defender,CHE,Hoffenheim,Eint. Frankfurt,Sold,2000000,Bundesliga,14/15
Blerim Dzemaili,Pre-Season,Midfielder,CHE,Galatasaray,Napoli,Sold,2350000,ROE,14/15
Michael Frey,Pre-Season,Attacker,CHE,Lille,Young Boys,Sold,3000000,ROE,14/15
Josip Drmic,Pre-Season,Attacker,CHE,Nuremberg,Zurich,Sold,3000000,Bundesliga,13/14
Haris Seferovic,Pre-Season,Attacker,CHE,Real Sociedad,Fiorentina,Sold,3000000,La Liga,13/14
Shani Tarushaj,Mid-Season,,CHE,Everton,Grasshoppers,Sold,4000000,EPL,15/16
Valentin Stocker,Pre-Season,Midfielder,CHE,Hertha,Basel,Sold,5000000,Bundesliga,14/15
Gokhan Inler,Pre-Season,Midfielder,CHE,Leicester,Napoli,Sold,5000000,EPL,15/16
Admir Mehmedi,Pre-Season,Attacker,CHE,Leverkusen,Freiburg,Sold,6000000,Bundesliga,15/16
Josip Drmic,Pre-Season,Attacker,CHE,Bayer Leverkusen,Nurnberg,Sold,6000000,Bundesliga,14/15
Timm Klose,Pre-Season,Defender,CHE,Wolfsburg,Nuremberg,Sold,6000000,Bundesliga,13/14
Edimilson Fernandes,Pre-Season,Midfielder,CHE,West Ham,Sion,Sold,7000000,EPL,16/17
Granit Xhaka,Pre-Season,Midfielder,CHE,Bor. Mgladbach,Basel,Sold,8500000,Bundesliga,Dec-13
Yann Sommer,Pre-Season,Goalkeeper,CHE,Bor. Mgladbach,Basel,Sold,10000000,Bundesliga,14/15
Stephan Lichtsteiner,Pre-Season,Defender,CHE,Juventus,Lazio,Sold,10000000,Serie A,11-Dec
Xherdan Shaqiri,Pre-Season,Midfielder,CHE,Bayern Munich,Basel,Sold,12000000,Bundesliga,Dec-13
Gokhan Inler,Pre-Season,Midfielder,CHE,Napoli,Udinese,Sold,12000000,Serie A,11-Dec
Xherdan Shaqiri,Mid-Season,Midfielder,CHE,Inter Milan,Bayern Munich,Sold,15000000,Serie A,14/15
Xherdan Shaqiri,Pre-Season,Midfielder,CHE,Stoke,Inter Milan,Sold,17000000,EPL,15/16
Breel Embolo,Pre-Season,Attacker,CHE,Schalke,Basel,Sold,20000000,Bundesliga,16/17
Granit Xhaka,Pre-Season,Midfielder,CHE,Arsenal,Bor. Mgladbach,Sold,45000000,EPL,16/17
Juan Gonzalo Lorca,Mid-Season,Attacker,CHL,Boulogne,Colo Colo,Sold,400000,ROE,09-Oct
Lorenzo Reyes,Pre-Season,Midfielder,CHL,Real Betis,Huachipato,Sold,900000,La Liga,13/14
Marco Estrada,Pre-Season,Defender,CHL,Montpellier,Univ. de Chile,Sold,1000000,ROE,10-Nov
Pablo Hernandez,Pre-Season,Midfielder,CHL,Celta Vigo,O Higgins,Sold,1600000,La Liga,14/15
Matias Fernandez,Pre-Season,Midfielder,CHL,Fiorentina,Sporting Lisbon,Sold,3000000,Serie A,Dec-13
Felipe Gutierrez,Pre-Season,Midfielder,CHL,Real Betis,Twente,Sold,3500000,La Liga,16/17
Matias Campos,Mid-Season,Midfielder,CHL,Granada,Audax,Sold,3500000,La Liga,11-Dec
Cristian Cuevas,Pre-Season,Midfielder,CHL,Chelsea,O Higgins,Sold,4000000,EPL,13/14
Mauricio Isla,Pre-Season,Defender,CHL,Cagliari,Juventus,Sold,4500000,Serie A,16/17
Jean Beausejour,Pre-Season,Midfielder,CHL,Birmingham,Club America,Sold,4800000,EPL,10-Nov
Mauricio Isla,Pre-Season,Midfielder,CHL,Juventus,Udinese,Sold,9400000,Serie A,Dec-13
Arturo Vidal,Pre-Season,Midfielder,CHL,Juventus,Bayer Leverkusen,Sold,10500000,Serie A,11-Dec
Charles Aranguiz,Pre-Season,Midfielder,CHL,Bayer Leverkusen,Internacional,Sold,11300000,Bundesliga,15/16
Claudio Bravo,Pre-Season,Goalkeeper,CHL,Barcelona,Real Sociedad,Sold,12000000,La Liga,14/15
Gary Medel,Pre-Season,Midfielder,CHL,Inter Milan,Cardiff,Sold,12500000,Serie A,14/15
Gary Medel,Pre-Season,Midfielder,CHL,Cardiff,Sevilla,Sold,13000000,EPL,13/14
Claudio Bravo,Pre-Season,Goalkeeper,CHL,Manchester City,Barcelona,Sold,18000000,EPL,16/17
Alexis Sanchez,Pre-Season,Attacker,CHL,Barcelona,Udinese,Sold,26000000,La Liga,11-Dec
Arturo Vidal,Pre-Season,Midfielder,CHL,Bayern,Juventus,Sold,37000000,Bundesliga,15/16
Alexis Sanchez,Pre-Season,Attacker,CHL,Arsenal,Barcelona,Sold,44000000,EPL,14/15
Siaka Tiene,Pre-Season,Defender,CIV,Paris S-G,Valenciennes,Sold,1000000,ROE,10-Nov
Souleymane Coulibaly,Pre-Season,Attacker,CIV,Tottenham,Siena,Sold,1700000,EPL,11-Dec
Yannick Sagbo,Pre-Season,Attacker,CIV,Hull City,Evian,Sold,1800000,EPL,13/14
Salomon Kalou,Pre-Season,Attacker,CIV,Hertha,Lille,Sold,3000000,Bundesliga,14/15
Emmanuel Eboue,Pre-Season,Defender,CIV,Galatasaray,Arsenal,Sold,3400000,ROE,11-Dec
Brice Dja Djedje,Pre-Season,Defender,CIV,Watford,Marseille,Sold,3500000,EPL,16/17
Arouna Kone,Pre-Season,Attacker,CIV,Wigan,Levante,Sold,3500000,EPL,Dec-13
Bony Wilfried,Mid-Season,Attacker,CIV,Vitesse Arnhem,Sparta Prague,Sold,4100000,ROE,10-Nov
Cheik Tiote,Pre-Season,Midfielder,CIV,Newcastle,FC Twente,Sold,4200000,EPL,10-Nov
Didier Zokora,Pre-Season,Midfielder,CIV,Trabzonspor,Sevilla,Sold,5000000,ROE,11-Dec
Eric Bailly,Mid-Season,Defender,CIV,Villarreal,Espanyol,Sold,5750000,La Liga,14/15
Arouna Kone,Pre-Season,Attacker,CIV,Everton,Wigan,Sold,5800000,EPL,13/14
Didier Drogba,Mid-Season,Attacker,CIV,Galatasaray,Shanghai Shenhua,Sold,6000000,ROE,Dec-13
Lamine Kone,Mid-Season,,CIV,Sunderland,Lorient,Sold,6500000,EPL,15/16
Gervinho,Pre-Season,Attacker,CIV,Roma,Arsenal,Sold,8000000,Serie A,13/14
Max Gradel,Pre-Season,Midfielder,CIV,Bournemouth,St Etienne,Sold,10000000,EPL,15/16
Seydou Doumbia,Mid-Season,Attacker,CIV,Roma,CSKA Moscow,Sold,13500000,Serie A,14/15
Wilfried Bony,Pre-Season,Attacker,CIV,Swansea,Vitesse,Sold,14000000,EPL,13/14
Yaya Toure,Pre-Season,Midfielder,CIV,Manchester City,Barcelona,Sold,30000000,EPL,10-Nov
Wilfried Bony,Mid-Season,,CIV,Manchester City,Swansea,Sold,36000000,EPL,14/15
Eric Bailly,Pre-Season,Defender,CIV,Manchester Utd,Villarreal,Sold,38300000,EPL,16/17
Karl Toko,Pre-Season,Attacker,CMR,Angers,Sochaux,Sold,1000000,ROE,16/17
Georges Mandjeck,Mid-Season,Defender,CMR,Auxerre,Rennes,Sold,1000000,ROE,11-Dec
Henri Bedimo,Pre-Season,Defender,CMR,Lyon,Montpellier,Sold,2000000,ROE,13/14
Aurelien Chedjou,Pre-Season,Defender,CMR,Galatasaray,Lille,Sold,6300000,ROE,13/14
Jean Makoun,Mid-Season,,CMR,Aston Villa,Lyon,Sold,7000000,EPL,10-Nov
Vincent Aboubakar,Pre-Season,Attacker,CMR,Porto,Lorient,Sold,10000000,ROE,14/15
Clinton N'Jie,Pre-Season,Attacker,CMR,Tottenham,Lyon,Sold,14000000,EPL,15/16
Alex Song,Pre-Season,Midfielder,CMR,Barcelona,Arsenal,Sold,19000000,La Liga,Dec-13
Samuel Etoo,Pre-Season,Attacker,CMR,Anzhi,Inter Milan,Sold,25000000,ROE,11-Dec
Cedric Makiadi,Pre-Season,Midfielder,COD,Werder Bremen,Freiburg,Sold,3000000,Bundesliga,13/14
Cedric Bakambu,Pre-Season,Attacker,COD,Villarreal,Bursaspor,Sold,7500000,La Liga,15/16
Chancel Mbemba,Pre-Season,Defender,COD,Newcastle,Anderlecht,Sold,12000000,EPL,15/16
Yannick Bolasie,Pre-Season,Midfielder,COD,Everton,Crystal Palace,Sold,30000000,EPL,16/17
Paul-Jose Mpoku,Pre-Season,Attacker,COG,Chievo,Standard Liege,Sold,4000000,Serie A,16/17
Marcel Tisserand,Pre-Season,Defender,COG,Ingolstadt,Monaco,Sold,5000000,Bundesliga,16/17
Dieumerci Mbokani,Pre-Season,Attacker,COG,Monaco,Standard Liege,Sold,7000000,ROE,10-Nov
Christopher Samba,Pre-Season,Defender,COG,Anzhi,QPR,Sold,14000000,ROE,13/14
Christopher Samba,Mid-Season,Defender,COG,Anzhi,Blackburn,Sold,14000000,ROE,11-Dec
Christopher Samba,Mid-Season,,COG,QPR,Anzhi,Sold,14500000,EPL,Dec-13
Humberto Osorio,Pre-Season,Attacker,COL,Real Valladolid,San Martin,Sold,1000000,La Liga,13/14
Bryan Perea,Pre-Season,Attacker,COL,Lazio,Deportivo Cali,Sold,2500000,Serie A,13/14
Mauricio Cuero,Mid-Season,Attacker,COL,Levante,La Equidad,Sold,3200000,La Liga,15/16
Daniel Torres,Pre-Season,Midfielder,COL,Alaves,Indep. Medellin,Sold,3200000,La Liga,16/17
Teofilo Gutierrez,Pre-Season,Attacker,COL,Sporting Lisbon,River Plate,Sold,3500000,ROE,15/16
David Ospina,Pre-Season,Goalkeeper,COL,Arsenal,Nice,Sold,3500000,EPL,14/15
Davinson Sanchez,Pre-Season,Defender,COL,Ajax,Atletico Nacional,Sold,5000000,ROE,16/17
Juan Quintero,Pre-Season,Midfielder,COL,Porto,Pescara,Sold,5000000,ROE,13/14
Cristian Zapata,Pre-Season,Defender,COL,AC Milan,Villarreal,Sold,5000000,Serie A,13/14
Rafael Santos Borre,Pre-Season,Attacker,COL,Atletico Madrid,Deportivo Cali,Sold,5000000,La Liga,15/16
Marlos Moreno,Pre-Season,Attacker,COL,Manchester City,Atletico Nacional,Sold,5700000,EPL,16/17
Carlos Sanchez,Pre-Season,Midfielder,COL,Aston Villa,Elche,Sold,6000000,EPL,14/15
Carlos Bacca,Pre-Season,Attacker,COL,Sevilla,Club Brugge,Sold,7000000,La Liga,13/14
Dorlan Pabon,Pre-Season,Attacker,COL,Valencia,Monterrey,Sold,7000000,La Liga,13/14
Cristian Zapata,Pre-Season,Defender,COL,Villarreal,Udinese,Sold,7000000,La Liga,11-Dec
Jeison Murillo,Pre-Season,Defender,COL,Inter Milan,Granada,Sold,8000000,Serie A,15/16
Duvan Zapata,Pre-Season,Attacker,COL,Napoli,Estudiantes,Sold,8000000,Serie A,13/14
Jackson Martinez,Pre-Season,Attacker,COL,Porto,Jaguares,Sold,8800000,ROE,Dec-13
Adrian Ramos,Pre-Season,Attacker,COL,Bor. Dortmund,Hertha,Sold,9000000,Bundesliga,14/15
Fredy Guarin,Pre-Season,Midfielder,COL,Inter Milan,Porto,Sold,11000000,Serie A,Dec-13
Luis Muriel,Mid-Season,Attacker,COL,Sampdoria,Udinese,Sold,12000000,Serie A,14/15
Carlos Bacca,Pre-Season,Attacker,COL,AC Milan,Sevilla,Sold,30000000,Serie A,15/16
Juan Cuadrado,Mid-Season,,COL,Chelsea,Fiorentina,Sold,31000000,EPL,14/15
Jackson Martinez,Pre-Season,Attacker,COL,Atletico Madrid,Porto,Sold,35000000,La Liga,15/16
Radamel Falcao,Pre-Season,Attacker,COL,Atletico Madrid,Porto,Sold,40000000,La Liga,11-Dec
James Rodriguez,Pre-Season,Midfielder,COL,Monaco,Porto,Sold,45000000,ROE,13/14
Radamel Falcao,Pre-Season,Attacker,COL,Monaco,Atletico Madrid,Sold,60000000,ROE,13/14
James Rodriguez,Pre-Season,Midfielder,COL,Real Madrid,Monaco,Sold,80000000,La Liga,14/15
Kassim Abdallah,Mid-Season,Defender,COM,Evian,Marseille,Sold,300000,ROE,13/14
Joel Campbell,Pre-Season,Attacker,CRI,Arsenal,Deporivo Saprissa,Sold,1100000,EPL,11-Dec
Oscar Duarte,Mid-Season,Defender,CRI,Espanyol,Club Brugge,Sold,1500000,La Liga,15/16
Bryan Oviedo,Pre-Season,Defender,CRI,Everton,FC Copenhagen,Sold,1500000,EPL,Dec-13
Giancarlo Gonzalez,Pre-Season,Defender,CRI,Palermo,Columbus Crew,Sold,3800000,Serie A,14/15
Keylor Navas,Pre-Season,Goalkeeper,CRI,Real Madrid,Levante,Sold,10000000,La Liga,14/15
Bryan Ruiz,Pre-Season,Attacker,CRI,Fulham,FC Twente,Sold,12000000,EPL,11-Dec
Ondrej Petrak,Mid-Season,Midfielder,CZE,Nuremberg,Slavia Prague,Sold,1000000,Bundesliga,13/14
Adam Hlousek,Mid-Season,Attacker,CZE,Nurnberg,FK Jablonec,Sold,1200000,ROE,11-Dec
Theodor Gebre Selassie,Pre-Season,Defender,CZE,Werder Bremen,Slovan,Sold,2000000,Bundesliga,Dec-13
Vladimir Darida,Pre-Season,Midfielder,CZE,Freiburg,Viktoria Plzen,Sold,4000000,Bundesliga,13/14
Petr Jiracek,Pre-Season,Midfielder,CZE,Hamburg,Wolfsburg,Sold,4000000,Bundesliga,Dec-13
Ladislav Krejci,Pre-Season,Midfielder,CZE,Bologna,Sparta Praha,Sold,4000000,Serie A,16/17
Patrik Schick,Pre-Season,Attacker,CZE,Sampdoria,Sparta Praha,Sold,4000000,Serie A,16/17
Michal Kadlec,Pre-Season,Defender,CZE,Fenerbahce,Bayer Leverkusen,Sold,5000000,ROE,13/14
Libor Kozak,Pre-Season,Attacker,CZE,Aston Villa,Lazio,Sold,8200000,EPL,13/14
Petr Cech,Pre-Season,Goalkeeper,CZE,Arsenal,Chelsea,Sold,14000000,EPL,15/16
Sascha Molders,Pre-Season,Attacker,DEU,FC Augsburg,FSV Frankfurt,Sold,125000,ROE,11-Dec
Marvin Compper,Mid-Season,Defender,DEU,Fiorentina,Hoffenheim,Sold,200000,Serie A,Dec-13
Markus Feulner,Pre-Season,Midfielder,DEU,Nurnberg,Bor. Dortmund,Sold,250000,ROE,11-Dec
Hany Mukhtar,Mid-Season,Midfielder,DEU,Benfica,Hertha,Sold,500000,ROE,14/15
Kevin Volland,Mid-Season,Attacker,DEU,Hoffenheim,Munich 1860,Sold,500000,ROE,10-Nov
Mitchell Weiser,Pre-Season,Midfielder,DEU,Bayern Munich,Koln,Sold,500000,Bundesliga,Dec-13
Thomas Eisfeld,Mid-Season,,DEU,Arsenal,Borussia Dortmund,Sold,500000,EPL,11-Dec
Andre Hoffmann,Mid-Season,Midfielder,DEU,Hannover,Duisburg,Sold,800000,Bundesliga,Dec-13
Lukas Schmitz,Pre-Season,Defender,DEU,Werder Bremen,Schalke,Sold,1000000,ROE,11-Dec
Marius Wolf,Mid-Season,Attacker,DEU,Hannover,1860 Munich,Sold,1000000,Bundesliga,15/16
Jan Kirchhoff,Mid-Season,,DEU,Sunderland,Bayern,Sold,1000000,EPL,15/16
Shawn Parker,Pre-Season,Attacker,DEU,Augsburg,Mainz,Sold,1500000,Bundesliga,14/15
Sascha Riether,Pre-Season,Defender,DEU,Fulham,Koln,Sold,1500000,EPL,13/14
Kerem Demirbay,Pre-Season,Midfielder,DEU,Hoffenheim,Hamburg,Sold,1700000,Bundesliga,16/17
Andreas Beck,Pre-Season,Defender,DEU,Besiktas,Hoffenheim,Sold,1750000,ROE,15/16
Koray Gunter,Mid-Season,Defender,DEU,Galatasaray,Bor. Dortmund,Sold,2000000,ROE,13/14
Arne Friedrich,Pre-Season,Defender,DEU,Wolfsburg,Hertha Berlin,Sold,2000000,ROE,10-Nov
Janik Haberer,Pre-Season,Attacker,DEU,SC Freiburg,Hoffenheim,Sold,2000000,Bundesliga,16/17
Dani Schahin,Pre-Season,Attacker,DEU,Mainz,Fortuna Dusseldorf,Sold,2000000,Bundesliga,13/14
Moritz Leitner,Pre-Season,Midfielder,DEU,Lazio,Bor. Dortmund,Sold,2000000,Serie A,16/17
Lewis Holtby,Mid-Season,,DEU,Tottenham,Schalke,Sold,2000000,EPL,Dec-13
Kevin Grosskreutz,Mid-Season,Midfielder,DEU,Stuttgart,Galatasaray,Sold,2100000,Bundesliga,15/16
Andre Hahn,Pre-Season,Midfielder,DEU,Bor. Mgladbach,Augsburg,Sold,2250000,Bundesliga,14/15
Lukas Podolski,Pre-Season,Attacker,DEU,Galatasaray,Arsenal,Sold,2500000,ROE,15/16
Dennis Diekmeier,Pre-Season,Defender,DEU,Hamburg,Nurnberg,Sold,2500000,ROE,10-Nov
Alexander Esswein,Pre-Season,Midfielder,DEU,Hertha,Augsburg,Sold,2500000,Bundesliga,16/17
Robert Bauer,Pre-Season,Defender,DEU,Werder Bremen,Ingolstadt,Sold,2500000,Bundesliga,16/17
Sinan Kurt,Pre-Season,Attacker,DEU,Bayern Munich,Bor. Mgladbach,Sold,2500000,Bundesliga,14/15
Julian Schieber,Pre-Season,Attacker,DEU,Hertha,Bor. Dortmund,Sold,2500000,Bundesliga,14/15
Sebastian Jung,Pre-Season,Defender,DEU,Wolfsburg,Eint. Frankfurt,Sold,2500000,Bundesliga,14/15
Max Kruse,Pre-Season,Attacker,DEU,Bor. Mgladbach,Freiburg,Sold,2500000,Bundesliga,13/14
Daniel Caligiuri,Pre-Season,Midfielder,DEU,Wolfsburg,Freiburg,Sold,2500000,Bundesliga,13/14
Nils Petersen,Pre-Season,Attacker,DEU,Bayern Munich,Energie Cottbus,Sold,2800000,ROE,11-Dec
Sandro Wagner,Pre-Season,Attacker,DEU,Hoffenheim,Darmstatd,Sold,2800000,Bundesliga,16/17
Marko Russ,Pre-Season,Defender,DEU,Wolfsburg,Eintracht Frankfurt,Sold,3000000,ROE,11-Dec
Sven Ulreich,Pre-Season,Goalkeeper,DEU,Bayern,Stuttgart,Sold,3000000,Bundesliga,15/16
Lars Stindl,Pre-Season,Midfielder,DEU,Bor. Mgladbach,Hannover,Sold,3000000,Bundesliga,15/16
Nico Schulz,Pre-Season,Midfielder,DEU,Bor. Mgladbach,Hertha,Sold,3000000,Bundesliga,15/16
Gerrit Holtmann,Pre-Season,Midfielder,DEU,Mainz,Braunschweig,Sold,3000000,Bundesliga,16/17
Leonardo Bittencourt,Pre-Season,Midfielder,DEU,Hannover,Bor. Dortmund,Sold,3000000,Bundesliga,13/14
Nils Petersen,Pre-Season,Attacker,DEU,Werder Bremen,Bayern Munich,Sold,3000000,Bundesliga,13/14
Leonardo Bittencourt,Pre-Season,Midfielder,DEU,Bor. Dortmund,Energie Cottbus,Sold,3000000,Bundesliga,Dec-13
Peniel Mlapa,Pre-Season,Attacker,DEU,Bor. Mgladbach,Hoffenheim,Sold,3000000,Bundesliga,Dec-13
Ron-Robert Zieler,Pre-Season,Goalkeeper,DEU,Leicester,Hannover,Sold,3500000,EPL,16/17
Philipp Max,Pre-Season,Defender,DEU,Augsburg,Karlsruher,Sold,3600000,Bundesliga,15/16
Ilkay Gundogan,Pre-Season,Midfielder,DEU,Bor. Dortmund,Nurnberg,Sold,4000000,ROE,11-Dec
Nicolai Muller,Pre-Season,Midfielder,DEU,Hamburg,Mainz,Sold,4500000,Bundesliga,14/15
Emre Can,Pre-Season,Midfielder,DEU,Bayer Leverkusen,Bayern Munich,Sold,5000000,Bundesliga,13/14
Julian Schieber,Pre-Season,Attacker,DEU,Bor. Dortmund,Stuttgart,Sold,5500000,Bundesliga,Dec-13
Lucas Rupp,Pre-Season,Midfielder,DEU,Hoffenheim,Stuttgart,Sold,6000000,Bundesliga,16/17
Max Kruse,Pre-Season,Attacker,DEU,Werder Bremen,Wolfsburg,Sold,6000000,Bundesliga,16/17
Loris Karius,Pre-Season,Goalkeeper,DEU,Liverpool,FC Koln,Sold,6100000,EPL,16/17
Joshua Kimmich,Pre-Season,Midfielder,DEU,Bayern,Stuttgart,Sold,7000000,Bundesliga,15/16
Philipp Wollscheid,Pre-Season,Defender,DEU,Bayer Leverkusen,Nurnberg,Sold,7000000,Bundesliga,Dec-13
